time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-22 00:00:00+00:00,15,7,0,0
2026-01-23 00:00:00+00:00,7,3,0,0
2026-01-24 00:00:00+00:00,5,5,0,0
2026-01-25 00:00:00+00:00,12,4,0,0
2026-01-26 00:00:00+00:00,2,2,0,0
2026-01-27 00:00:00+00:00,7,3,0,0
2026-01-28 00:00:00+00:00,14,6,1,1
2026-01-29 00:00:00+00:00,13,5,7,2
2026-01-30 00:00:00+00:00,8,4,1,1
2026-01-31 00:00:00+00:00,7,3,0,0
2026-02-01 00:00:00+00:00,11,6,1,1
2026-02-02 00:00:00+00:00,11,7,2,1
2026-02-03 00:00:00+00:00,9,5,1,1
2026-02-04 00:00:00+00:00,4,4,1,1
